title,year,score,scored_by,members,rank,genres,demographics
Undead Unluck,2023,7.74,121901,339049,1278,"Action, Comedy",Shounen
Nae Salang Ddung 2nd Season,,,,102,19244,"Comedy, Fantasy",Kids
SK∞ 2nd Season,,,,47567,,Sports,
One Punch Man 3,2025,4.72,91438,417783,14343,"Action, Comedy",Seinen
Nanashi Kaidan,2022,5.41,316,5814,13152,Horror,
Ganbare! Choushuu-kun,2022,,,465,21659,Comedy,
Majo to Yajuu,2024,7.45,67235,184776,2262,"Action, Fantasy",Seinen
Tsurune: Tsunagari no Issha,2023,8.09,21078,67518,584,Sports,
"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",2023,6.33,201867,377919,8487,"Action, Adventure, Fantasy",
"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",2023,7.15,52883,135108,3814,"Comedy, Fantasy, Romance",
Punirunes,2022,5.66,178,760,12264,"Fantasy, Slice of Life",Kids
Mahoutsukai no Yome Season 2,2023,7.76,73899,214575,1222,"Drama, Fantasy, Romance",Shounen
"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story",2023,7.2,46204,95911,3570,Comedy,
Sylvanian Families: Freya no Happy Diary,2022,,,513,15755,Slice of Life,Kids
Sylvanian Families: Mini Story - Peony,2020,,,213,15760,Slice of Life,Kids
"Jitsu wa Ore, Saikyou deshita?",2023,6.47,98002,204477,7649,"Adventure, Fantasy",
Megami no Café Terrace,2023,7.31,70917,160141,2954,"Comedy, Romance, Ecchi",Shounen
Berserk: Ougon Jidai-hen - Memorial Edition,2022,7.91,23012,52881,859,"Action, Adventure, Drama, Fantasy, Horror",Seinen
Dekoboko Majo no Oyako Jijou,2023,6.76,21958,65988,5850,"Comedy, Fantasy",
"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",2023,6.75,100809,224052,5883,Romance,
Sousou no Frieren,2023,9.28,804044,1325722,1,"Adventure, Drama, Fantasy",Shounen
Arifureta Shokugyou de Sekai Saikyou Season 3,2024,7.02,65558,194928,4494,"Action, Adventure, Fantasy",
Mamekichi Mameko NEET no Nichijou,2022,,,1098,18716,Comedy,
Human Bug Daigaku,2022,6.68,4017,10582,6333,"Comedy, Mystery",
Oshaberi Nachudons,2007,,,103,19596,Comedy,
Kkoma Bus Tayo Pilot,2008,,,225,18197,,Kids
Synduality: Noir,2023,6.84,14785,56697,5417,Sci-Fi,
Mecha-ude (TV),2024,6.79,19191,58946,5647,"Action, Sci-Fi",
Onegai! Momojiri Zoku,2014,,,119,19550,"Comedy, Supernatural",
Kanojo mo Kanojo Season 2,2023,7,54949,123130,4596,"Comedy, Romance",Shounen
Bo & To's Family,2018,,,192,20542,Slice of Life,Kids
Bo & To's Family Part 2,2019,,,180,20545,Slice of Life,Kids
Bo & To's Family 2nd Season,2022,,,271,20543,Slice of Life,Kids
"Kanojo, Okarishimasu 3rd Season",2023,6.96,101340,216283,4775,"Comedy, Romance",Shounen
Sono Bisque Doll wa Koi wo Suru Season 2,2025,8.2,177123,430777,426,Romance,Seinen
Nijiyon Animation,2023,6.8,5530,14026,5629,Comedy,
Nekoben,2007,,,112,19340,Comedy,
Poo Poo Kids,2007,,,141,19817,Comedy,
Honmaguro Toro Tarou,2008,,,105,22209,Comedy,
Tokyo Mew Mew New ♡ 2nd Season,2023,6.72,4911,16999,6089,"Romance, Sci-Fi",Shoujo
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,2023,8.25,152163,286578,361,"Action, Adventure, Fantasy",
Puppuku Beats,2007,,,101,19882,Comedy,
Pitekanto,2007,,,107,19776,Comedy,
Yamada-kun to Lv999 no Koi wo Suru,2023,7.76,279560,530981,1203,Romance,
Atri: My Dear Moments,2024,7.2,24596,81757,3518,"Drama, Romance, Sci-Fi",
UniteUp!,2023,7.05,3684,12086,4381,Slice of Life,
Majutsushi Orphen Hagure Tabi: Urbanrama-hen,2023,6.15,3906,19063,9594,"Action, Adventure, Drama, Fantasy",
Kawaisugi Crisis,2023,6.81,14999,46531,5547,"Comedy, Sci-Fi",Shounen
Ars no Kyojuu,2023,6.04,15049,48341,10252,"Action, Adventure, Fantasy",
Kidou Senshi Gundam: Suisei no Majo Season 2,2023,7.88,60771,107459,935,Sci-Fi,
Hataraku Maou-sama!! 2nd Season,2023,6.67,60703,172366,6421,"Comedy, Supernatural",
Revenger,2023,6.67,30901,93329,6384,"Action, Drama, Mystery",
Kingdom 5th Season,2024,8.73,26924,59675,51,Action,Seinen
KJ File 2nd Season,2023,5.18,193,2052,13762,"Action, Sci-Fi",
Shy,2023,6.71,27574,81329,6105,"Action, Drama",Shounen
Hoshikuzu Telepath,2023,7.15,17426,59230,3860,Comedy,
"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",2023,7.11,73820,144224,4079,"Adventure, Comedy, Fantasy",
Love Live! Superstar!! 3rd Season,2024,7.89,7830,21656,908,Slice of Life,
Ojou to Banken-kun,2023,5.67,31170,86952,12199,Romance,Shoujo
Chickip Dancers 2nd Season,2022,,,509,20845,Slice of Life,
Shuumatsu Train Doko e Iku?,2024,7.36,33114,88095,2672,Adventure,
Beuledeu Ibalso 2,2020,,,587,20478,"Comedy, Fantasy",
Beuledeu Ibalso 3,2021,,,240,20480,"Comedy, Fantasy",Kids
Uchi no Kaisha no Chiisai Senpai no Hanashi,2023,6.89,51573,139401,5101,"Comedy, Romance",
Agisang-eo Ollie Tululutulu,2020,,,229,20053,,Kids
Agisang-eo Ollie wa William,2020,,,237,20054,,Kids
Tengoku Daimakyou,2023,8.21,284856,613090,411,"Adventure, Mystery, Sci-Fi",Seinen
Tsuyokute New Saga,2025,6.56,31428,78924,7047,"Adventure, Fantasy",
Bartender: Kami no Glass,2024,7.37,51412,134111,2630,"Drama, Gourmet",Seinen
I Love Me 2nd Season,2022,,,340,22364,,Kids
Yuru Camp△ Season 3,2024,8.03,37150,100713,673,Slice of Life,
Buddy Daddies,2023,8.1,156820,345834,574,"Action, Comedy",
Dosanko Gal wa Namara Menkoi,2024,7.05,97570,214751,4341,"Comedy, Romance",Shounen
Flaglia: Natsuyasumi no Monogatari,2023,5.1,328,4866,13886,Fantasy,
Hyakushou Kizoku,2023,6.75,1911,5274,5877,Comedy,Shoujo
Ayaka,2023,6.43,16144,53635,7901,Fantasy,
"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",2024,7.29,98938,202260,3024,"Action, Fantasy, Romance",
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,2023,7.12,55862,123420,4028,Fantasy,Josei
Boushoku no Berserk,2023,6.72,126145,249464,6042,"Action, Adventure, Fantasy",
Tondemo Skill de Isekai Hourou Meshi,2023,7.64,175514,324871,1537,"Adventure, Comedy, Fantasy, Gourmet",
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita 2nd",2024,6.76,57718,151104,5827,"Fantasy, Romance",
Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,2023,6.76,44755,103090,5844,"Action, Adventure, Fantasy",
Busu ni Hanataba wo.,2025,7.16,10418,34772,3776,"Comedy, Romance",Seinen
Oshiri Tantei 7th Season,2023,,,340,19600,"Comedy, Fantasy, Mystery",Kids
"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu",2024,7.42,135225,254629,2396,"Adventure, Fantasy",
Uma Musume: Pretty Derby Season 3,2023,7.7,30326,57943,1361,Sports,
Tensei shitara Slime Datta Ken 3rd Season,2024,7.7,202599,457790,1357,"Action, Comedy, Fantasy",Shounen
The Marginal Service,2023,5.51,6580,23926,12813,"Action, Sci-Fi",
Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,2024,7.57,65838,136699,1780,"Adventure, Fantasy",
Dead Mount Death Play,2023,7.26,121869,281201,3176,"Action, Fantasy",Seinen
Jijou wo Shiranai Tenkousei ga Guigui Kuru.,2023,7.51,34893,78925,2020,"Comedy, Romance",Shounen
"Bye Bye, Earth",2024,6.05,21770,70405,10182,"Action, Adventure, Fantasy",
Yumemiru Danshi wa Genjitsushugisha,2023,6.62,102157,214114,6702,"Comedy, Romance",
Bullbuster,2023,6.16,4351,14233,9537,Sci-Fi,
Ooya-san to Boku 2nd Season,2020,,,312,19571,Slice of Life,
Ooya-san to Boku 3rd Season,2021,,,261,19572,Slice of Life,
Yomawari Neko,2023,,,864,17205,Slice of Life,
Longlong Juggessji? 2nd Season,2020,,,100,18604,"Comedy, Fantasy",Kids
Xiongmao Yangyang He Xiao Huoban 2nd Season,2021,,,88,17038,,Kids
World Dai Star,2023,7.31,5782,17323,2919,,
Hirogaru Sky! Precure,2023,7.6,4265,12679,1696,Action,
Acro Trip,2024,6.73,8295,23823,6011,Comedy,Shoujo
"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.",2024,6.36,87487,185261,8321,"Action, Adventure, Comedy, Fantasy",
Hidarikiki no Eren,2026,,,3438,,Drama,Shounen
#Compass 2.0: Sentou Setsuri Kaiseki System,2025,5.83,2972,11530,11402,Action,
Sentai Daishikkaku,2024,7.3,79241,195353,2980,"Action, Fantasy",Shounen
AI no Idenshi,2023,6.51,16223,49985,7354,"Drama, Sci-Fi, Suspense",Shounen
2.5-jigen no Ririsa,2024,7.41,51299,153760,2426,"Comedy, Ecchi",Shounen
Sabapara,2016,,,95,14916,"Comedy, Sports",
Watashi no Oshi wa Akuyaku Reijou.,2023,7.35,69677,147776,2747,"Comedy, Fantasy, Girls Love",
Unnamed Memory,2024,6.79,56918,153871,5670,"Adventure, Fantasy, Romance",
Megumi no Daigo: Kyuukoku no Orange,2023,6.71,9409,30540,6149,"Action, Drama",Shounen
Yozakura-san Chi no Daisakusen,2024,7.57,47149,153627,1792,"Action, Comedy",Shounen
Pokemon: Mezase Pokemon Master,2023,7.59,13781,29483,1724,"Action, Adventure, Comedy, Fantasy",Kids
Pokemon (2023),2023,7.41,9973,40751,2457,"Action, Adventure, Comedy, Fantasy",Kids
Kamonohashi Ron no Kindan Suiri,2023,7.51,58072,162331,2022,"Comedy, Mystery",Shounen
Arknights: Perish in Frost,2023,7.6,19113,57645,1681,"Action, Fantasy",
Spy x Family Season 2,2023,8.06,321816,655743,626,"Action, Comedy",Shounen
Ao no Exorcist: Shimane Illuminati-hen,2024,7.11,58253,179664,4037,"Action, Supernatural",Shounen
Tom to Jerry Gokko,2022,6.64,563,1631,6585,Comedy,Kids
Minami no Shima no Chiisana Hikouki Birdy,2005,,,180,18983,Adventure,Kids
Seiyuu Radio no Uraomote,2024,6.94,20679,58057,4861,"Comedy, Drama",
Tensei shitara Ken deshita 2,2026,,,79600,,"Action, Adventure, Fantasy",
Jibaku Shounen Hanako-kun 2,2025,7.94,28488,96308,808,Supernatural,Shounen
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,2023,8.7,224798,397539,66,"Action, Adventure, Supernatural",Shounen
Otome Game Sekai wa Mob ni Kibishii Sekai desu 2,2026,,,58780,,"Fantasy, Romance",
Turkey!,2025,6.54,6156,20409,7216,Sports,
Tousouchuu: Great Mission,2023,6.05,925,6663,10169,"Sci-Fi, Suspense",
16bit Sensation: Another Layer,2023,6.88,26174,61460,5179,Comedy,
Dokan-kun Nanika no Ekaki Uta,2007,,,159,21243,Comedy,
Oshiete! Dokan-kun,2008,,,201,19593,Comedy,
Deko Boko Friends 3,2003,,,112,21161,,Kids
Deko Boko Friends 4,2005,,,110,21160,,Kids
Deko Boko Friends 5,2005,,,110,21163,,Kids
Hikikomari Kyuuketsuki no Monmon,2023,7.14,50032,130817,3880,"Comedy, Fantasy",
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,2023,7.71,321171,663139,1355,"Comedy, Suspense",Seinen
Dudadakung 3rd Season,2020,,,146,21382,Fantasy,Kids
Cardfight!! Vanguard: Divinez,2024,7.11,1538,4712,4039,Action,
Cardfight!! Vanguard: Divinez Season 2,2024,7.12,1116,3255,4012,Action,
Cardfight!! Vanguard: Divinez Deluxe-hen,2025,7.04,841,2787,4409,Action,
Cardfight!! Vanguard: Divinez Deluxe Kesshou-hen,2025,6.66,585,2136,6434,Action,
Future Kid Takara,2025,,,1182,21615,Drama,
Yorozu Kotto Yamagashi,2011,,,306,17216,,
Chou Futsuu Ken Chiba Densetsu,2024,5.09,509,5742,13909,"Comedy, Fantasy",
Kaii to Otome to Kamikakushi,2024,6.76,33022,102167,5804,"Mystery, Supernatural, Ecchi",
Gunma-chan Season 2,2023,,,582,21858,Slice of Life,
Iyab! Space Jungle 2nd Season,2016,,,100,17642,Comedy,Kids
Sasayaku You ni Koi wo Utau,2024,6.68,24016,95557,6288,"Drama, Girls Love",
Suki na Ko ga Megane wo Wasureta,2023,7.15,92035,236802,3829,"Comedy, Romance",Shounen
Rokudou no Onna-tachi,2023,6.41,24604,62755,7988,"Comedy, Romance",Shounen
Kekkon Yubiwa Monogatari,2024,6.07,54923,139233,10044,"Action, Fantasy, Romance, Ecchi",Seinen
Temple,2023,6.69,48880,121743,6284,"Comedy, Romance, Ecchi",
VTuber Nandaga Haishin Kiri Wasuretara Densetsu ni Natteta,2024,7.01,26353,73901,4553,Comedy,
Pinkfong Wonderstar,2019,,,223,19760,,Kids
Myeongtamjeong Pinkfong-gwa Hogi,2020,,,160,19223,,Kids
Dog Signal,2023,7.11,1753,8499,4047,Slice of Life,Josei
Overtake!,2023,7.47,26115,72599,2202,Drama,
Blue Archive the Animation,2024,7.01,26987,73682,4563,"Action, Fantasy",
Mahou Shoujo Ikusei Keikaku: Restart,2026,,,5372,,"Action, Suspense",
Hametsu no Oukoku,2023,6.22,89978,225040,9183,"Action, Drama, Fantasy, Sci-Fi",Shounen
Toaru Ossan no VRMMO Katsudouki,2023,6.38,45294,101867,8183,"Action, Adventure, Comedy, Fantasy",
Ishura,2024,6.73,41393,131077,5967,"Action, Adventure, Fantasy",
Kusuriya no Hitorigoto,2023,8.85,442869,789273,29,"Drama, Mystery",
Kage no Jitsuryokusha ni Naritakute! 2nd Season,2023,8.26,287718,514902,357,"Action, Comedy, Fantasy",
Potion-danomi de Ikinobimasu!,2023,6.55,27769,57217,7111,"Adventure, Fantasy",
Kyuujitsu no Warumono-san,2024,7.24,32167,104303,3296,"Fantasy, Slice of Life",
Bosanimal,2023,6.03,178,1334,10281,,
Gekai Elise,2024,7.26,53534,114429,3181,"Fantasy, Romance",
Kawagoe Boys Sing,2023,5.66,1855,7665,12251,Slice of Life,
Chibi Godzilla no Gyakushuu,2023,6.73,502,1353,6020,Fantasy,Kids
Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,2020,,,325,19188,Fantasy,Kids
Boruto: Naruto Next Generations Part 2,,,,33836,,"Action, Adventure, Fantasy",Shounen
Naruto (Shinsaku Anime),,,,40419,,"Action, Adventure, Fantasy",Shounen
Fumetsu no Anata e Season 3,2025,7.68,13846,138729,1427,"Adventure, Drama, Supernatural",Shounen
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,2023,7.68,164411,317285,1431,"Comedy, Romance",Seinen
Kibou no Chikara: Otona Precure '23,2023,6.55,2749,9752,7093,Action,
Mahoutsukai Precure!! Mirai Days,2025,7.19,1268,5402,3626,Action,
Mahou Shoujo ni Akogarete,2024,7.61,91263,197687,1657,"Action, Comedy, Girls Love, Ecchi",
Nige Jouzu no Wakagimi,2024,7.79,81567,198970,1152,"Adventure, Comedy",Shounen
"Tsuma, Shougakusei ni Naru.",2024,7.53,23770,66787,1973,"Comedy, Romance",Seinen
Kinnikuman: Kanpeki Choujin Shiso-hen,2024,6.78,1902,8763,5720,"Comedy, Sports",Shounen
Majutsushi Orphen Hagure Tabi: Seiiki-hen,2023,6.09,2734,12985,9943,"Action, Adventure, Drama, Fantasy",
Dead Mount Death Play Part 2,2023,7.44,62243,142146,2298,"Action, Fantasy",Seinen
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,2024,7.55,256592,477081,1852,"Comedy, Romance",
Hikari no Ou 2nd Season,2024,5.91,4868,13820,10939,"Adventure, Drama, Fantasy",
3-nen Z-gumi Ginpachi-sensei,2025,7.68,11367,43858,1420,Comedy,Shounen
The iDOLM@STER Shiny Colors,2024,6.11,2630,10806,9788,Slice of Life,
Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega,2023,6.41,23382,76990,7987,"Adventure, Fantasy",
Duel Masters Win: Duel Wars-hen,2023,,,782,21388,"Action, Adventure, Comedy, Fantasy",Kids
Sousei no Aquarion: Myth of Emotions,2025,5.41,1279,5325,13159,Sci-Fi,
YouTuNya,2023,5.7,180,898,12070,Comedy,
Boku no Hero Academia 7th Season,2024,8.12,207171,453286,529,Action,Shounen
Undead Girl Murder Farce,2023,7.85,75290,181417,991,"Fantasy, Mystery",
Metallic Rouge,2024,6.2,34389,114917,9310,"Action, Sci-Fi",
Kamierabi,2023,5.83,6993,28651,11363,"Action, Suspense",
Captain Tsubasa Season 2: Junior Youth-hen,2023,7.43,6899,17012,2350,Sports,Shounen
Urusei Yatsura (2022) 2nd Season,2024,7.83,18170,56648,1048,"Comedy, Romance, Sci-Fi",Shounen
Kono Sekai wa Fukanzen Sugiru,2024,6.53,18853,53149,7272,"Adventure, Fantasy",
Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,2024,7.13,105740,201013,3935,Fantasy,
Yoru no Kurage wa Oyogenai,2024,7.74,49520,130925,1279,Drama,
Sugar Apple Fairy Tale Part 2,2023,7.66,35039,78446,1489,"Adventure, Drama, Fantasy, Romance",
Ikimono-san,2023,5.87,193,1275,11192,"Avant Garde, Comedy",
Sakuretsu! Amabie-hime. Season 2,2023,,,397,14964,Comedy,
Kikansha no Mahou wa Tokubetsu desu,2023,7.05,82171,170634,4353,"Action, Fantasy",
Maou 2099,2024,7.41,58776,134208,2452,"Action, Fantasy, Sci-Fi",
Shadowverse Flame: Seven Shadows-hen,2023,6.78,831,3579,5736,Fantasy,
Senpai wa Otokonoko,2024,7.29,28551,86189,3034,"Drama, Romance",
Horimiya: Piece,2023,8.13,198897,442761,528,Romance,Shounen
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,2024,8.43,210467,472717,200,"Drama, Fantasy, Suspense",
Hypnosis Mic: Division Rap Battle - Rhyme Anima +,2023,6.87,3704,13085,5217,Sci-Fi,
Rinkai!,2024,5.64,2291,9861,12349,Sports,
Trigun Stargaze,2026,7.39,2968,60103,2550,"Action, Adventure, Sci-Fi",Shounen
Blue Lock vs. U-20 Japan,2024,7.52,166811,321915,1998,Sports,Shounen
Kin-Q Kids☆Otasu K-tai,2006,,,122,18162,,Kids
High Card Season 2,2024,7.1,17033,50907,4119,"Action, Fantasy",
Shin Nippon History,2020,,,860,15357,Comedy,
Takoru TV,2002,,,172,15825,Slice of Life,
Mononogatari 2nd Season,2023,7.33,17592,42747,2812,"Action, Supernatural",Seinen
Bungou Stray Dogs 5th Season,2023,8.61,116891,250810,100,"Action, Mystery",Seinen
Wind Breaker,2024,7.72,226701,444020,1314,Action,
"Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.",2024,7.36,104787,199774,2671,"Action, Adventure, Fantasy",
Bikkurimen,2023,5.42,623,3513,13115,"Comedy, Fantasy",
Tokyo Revengers: Tenjiku-hen,2023,7.81,127955,264746,1086,"Action, Drama",Shounen
Denden no Dennou Densha,2023,,,1375,21167,Comedy,
Spy Kyoushitsu 2nd Season,2023,7.15,18083,51299,3827,"Action, Mystery",
BanG Dream! It's MyGO!!!!!,2023,8.22,19479,40306,404,Drama,
Giji Harem,2024,7.82,89879,215206,1069,"Comedy, Romance",Shounen
Go! Go! Vehicle Zoo,2023,,,443,21756,,Kids
Sinbi Apartment: Ghost Ball Zero,2023,,,494,15543,Fantasy,Kids
Baempaieosonyeo Dalja,2022,,,425,20278,Comedy,
Amagami-san Chi no Enmusubi,2024,7.54,39647,105476,1921,"Comedy, Romance, Supernatural",Shounen
Bubble Bubble Cook 2nd Season,2011,,,161,20612,Gourmet,Kids
Rainbow Ruby 2nd Season,2020,,,164,14749,,Kids
Bubble Cook Wonjeongdae,2013,,,151,20612,Gourmet,Kids
Girls Band Cry,2024,8.36,51846,130702,260,Drama,
Jifeng Jingshe,2022,,,324,17732,Sports,
Oroka na Tenshi wa Akuma to Odoru,2024,6.91,54841,144143,5006,"Comedy, Romance, Supernatural",Seinen
Yarinaoshi Reijou wa Ryuutei Heika wo Kouryakuchuu,2024,7,44295,102318,4619,"Comedy, Fantasy, Romance",Shoujo
Yuzuki-san Chi no Yonkyoudai.,2023,7.87,26631,72209,959,Slice of Life,Shoujo
Yami Shibai 11,2023,5.83,3038,8502,11399,"Avant Garde, Horror, Supernatural",
Ooi! Tonbo,2024,7.11,5369,14556,4072,"Drama, Sports",
Mamekichi Mameko NEET no Nichijou 2nd Season,2023,,,407,18716,Comedy,
Tian Zhen Yu Kung Fu Wa,2021,,,264,15968,"Action, Comedy",Kids
Xiongmao He Kaixin Qiu,2021,,,131,17027,Comedy,Kids
"Tensei Kizoku, Kantei Skill de Nariagaru",2024,7.16,95384,188392,3762,"Adventure, Fantasy",
Stray Sheep no Daibouken,1994,,,205,15704,Adventure,Kids
Bastions,2023,5.48,145,518,12925,"Action, Comedy",
Atarashii Joushi wa Do Tennen,2023,7.91,27612,70987,858,Slice of Life,
Medalist,2025,8.37,33933,81627,249,"Drama, Sports",Seinen
Bucchigiri?!,2024,6.49,45157,110357,7524,"Comedy, Supernatural",
Pon no Michi,2024,6.48,9041,36043,7587,"Slice of Life, Supernatural",
Zatsu Tabi: That's Journey,2025,6.93,12288,37785,4937,"Adventure, Slice of Life",Seinen
Yuuki Bakuhatsu Bang Bravern,2024,7.54,11442,35838,1919,"Comedy, Sci-Fi",
Shin Tennis no Oujisama: U-17 World Cup Semifinal,2024,6.68,2199,7999,6289,Sports,Shounen
Hananoi-kun to Koi no Yamai,2024,6.76,50405,135079,5856,Romance,Shoujo
Snack Basue,2024,6.49,3287,10525,7506,Comedy,Seinen
Dr. Stone: New World Part 2,2023,8.31,221173,411651,303,"Adventure, Comedy",Shounen
Banjjagbanjjag Catch! Tiniping,2021,,,417,20371,,
Alssongdalssong Catch! Tiniping,2022,,,403,20113,,
Utagoe wa Mille-Feuille,2025,6.58,1418,6980,6962,Slice of Life,
Boku no Kokoro no Yabai Yatsu 2nd Season,2024,8.71,168419,296047,57,"Comedy, Romance",Shounen
Kimetsu no Yaiba: Hashira Geiko-hen,2024,8.04,429176,739726,656,"Action, Supernatural",Shounen
Hana-Doll*: Reinterpretation of Flowering,2025,5.7,361,4316,12033,"Mystery, Sci-Fi",
Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita,2024,5.24,35814,92334,13608,"Action, Adventure, Fantasy",
Miru: Watashi no Mirai,2025,5.31,656,5079,13445,Sci-Fi,
Mahoutsukai no Yome Season 2 Part 2,2023,7.91,49372,120230,872,"Drama, Fantasy, Romance",Shounen
Megami no Café Terrace 2nd Season,2024,7.39,34019,80956,2538,"Comedy, Romance, Ecchi",Shounen
Golden Kamuy: Saishuushou,2026,8.22,2744,46703,405,"Action, Adventure",Seinen
"Himesama ""Goumon"" no Jikan desu",2024,7.23,28497,82542,3374,"Comedy, Fantasy, Gourmet",Shounen
Kizuna no Allele Season 2,2023,5.68,1556,5442,12119,,
[Oshi no Ko] 2nd Season,2024,8.52,240806,493661,150,Drama,Seinen
Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,2024,7.78,267735,492707,1161,"Action, Comedy, Fantasy",Shounen
Natsume Yuujinchou Shichi,2024,8.58,17408,56390,116,"Slice of Life, Supernatural",Shoujo
Jigokuraku 2nd Season,2026,8.18,18290,280311,452,"Action, Adventure, Supernatural",Shounen
Fate/strange Fake,2026,8.51,12703,119342,157,"Action, Fantasy",
Zombie Dumb 2,2017,,,136,17538,"Comedy, Supernatural",Kids
Zombie Dumb 3,2022,,,148,17540,"Comedy, Supernatural",Kids
Okinawa de Suki ni Natta Ko ga Hougen Sugite Tsurasugiru,2025,7.09,24267,69358,4158,"Comedy, Romance",
Rebuild World,,,,12459,,"Action, Sci-Fi",
Tasogare Out Focus,2024,7.47,19468,57243,2216,Boys Love,
Isekai Suicide Squad,2024,6.38,50353,158384,8203,"Action, Fantasy",
Kuroshitsuji: Kishuku Gakkou-hen,2024,7.86,37866,107380,973,"Action, Mystery, Supernatural",Shounen
Yubisaki to Renren,2024,8.2,153660,332702,431,Romance,Shoujo
Henjin no Salad Bowl,2024,7.27,30311,70830,3162,"Comedy, Supernatural",
"Kekkon suru tte, Hontou desu ka",2024,7.12,49706,118670,3973,Romance,Seinen
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,2024,8.39,315302,549411,227,"Adventure, Drama, Fantasy, Ecchi",
Bokura no Ame-iro Protocol,2023,6.08,13463,44847,10005,Action,
The Fable,2024,8.14,38400,102964,510,"Comedy, Suspense",Seinen
Sylvanian Families: Freya no Go for Dream!,2023,,,452,15755,Slice of Life,Kids
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,2024,7.63,42003,90222,1575,"Boys Love, Comedy",
Shuumatsu no Walküre Mini Anime (Cartoon Network Nite),2021,5.98,220,1004,10536,"Action, Comedy",Seinen
Sword Art Online Alternative: Gun Gale Online II,2024,7.14,34694,116118,3906,Action,
Your Forma,2025,6.25,9285,42038,9013,"Mystery, Sci-Fi",
Koi wa Futago de Warikirenai,2024,6.25,24580,70673,8981,"Comedy, Romance",
"Guild no Uketsukejou desu ga, Zangyou wa Iya nanode Boss wo Solo Toubatsu Shiyou to Omoimasu",2025,6.64,62908,142340,6610,"Action, Adventure, Comedy, Fantasy",
Momochi-san Chi no Ayakashi Ouji,2024,6.54,17659,56718,7201,"Romance, Supernatural",Shoujo
Sabikui Bisco Season 2,,,,29861,,"Action, Adventure, Fantasy, Sci-Fi",
Yuusha-kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku,2026,8.31,30947,196585,307,"Action, Adventure, Fantasy",
Lazarus,2025,7.18,72648,238886,3648,"Action, Suspense",
Buffett Shenmi Julebu 2nd Season,,,,105,20623,,Kids
Naze Boku no Sekai wo Daremo Oboeteinai no ka?,2024,6.23,52008,135650,9112,"Action, Fantasy, Sci-Fi",
NieR:Automata Ver1.1a Part 2,2024,8.05,36993,107448,643,"Action, Fantasy, Sci-Fi",
Nanashi Kaidan 2nd Season,2023,5.51,194,2930,12836,Horror,
Balala Xiao Mo Xian: Mofa Hai Ying Bao 2nd Season,2020,,,234,20345,Comedy,
Balala Xiao Mo Xian: Mofa Xing Yuan Bao,2022,,,312,20349,,Kids
UniteUp! Uni:Birth,2025,6.73,1061,4779,6002,Slice of Life,
Boukyaku Battery (TV),2024,7.52,19144,49417,2001,"Comedy, Sports",Shounen
Delico's Nursery,2024,6.79,13213,56078,5687,"Fantasy, Mystery",
Grendizer U,2024,5.83,2123,8438,11416,Sci-Fi,
Rekishi ni Nokoru Akujo ni Naru zo,2024,7.33,65121,129877,2823,"Comedy, Fantasy, Romance",Shoujo
Jiisan Baasan Wakagaeru,2024,7.45,50866,146717,2255,"Comedy, Romance, Supernatural",
Sengoku Youko: Yonaoshi Kyoudai-hen,2024,6.99,19167,68634,4659,"Action, Adventure, Fantasy",Shounen
Chuldong! Super Wings 4,2020,,,180,20931,Adventure,Kids
